,,PAT,FG_Made,,,,,Fantasy
Player,Opp,PAT_Made,FG_Made_0-19,FG_Made_20-29,FG_Made_30-39,FG_Made_40-49,FG_Made_50+,Fantasy_Points
Matt BryantK - ATL,Bye,56,-,12,7,9,6,170
Justin TuckerK - BALView Videos,Bye,27,-,4,10,14,10,161
Dustin HopkinsK - WAS,Bye,36,-,12,12,7,3,144
Caleb SturgisK - PHI,Bye,30,-,12,12,7,4,143
Wil LutzK - NO,Bye,49,1,7,9,8,3,139
Adam VinatieriK - IND,Bye,44,-,3,7,10,7,139
Matt PraterK - DETView Videos,Bye,31,-,10,4,10,7,138
Dan BaileyK - DAL,Bye,46,-,9,8,7,3,133
Nick NovakK - HOU,Bye,22,1,12,11,8,3,133
Cairo SantosK - KC,Bye,36,-,8,15,6,2,133
Stephen GostkowskiK - NE,Bye,46,-,9,7,9,2,131
Steven HauschkaK - BUF,Bye,29,-,11,13,8,1,130
Sebastian JanikowskiK - OAK,Bye,37,1,9,6,10,3,130
Graham GanoK - CAR,Bye,31,-,4,9,14,3,127
Brandon McManusK - DENView Videos,Bye,32,-,9,10,7,3,125.6
Mason CrosbyK - GBView News,Bye,44,1,6,13,5,1,124
Jason MyersK - JAX,Bye,29,-,7,3,10,7,124
Josh LamboK - LAC,Bye,42,-,7,13,6,-,120
Chandler CatanzaroK - NYJ,Bye,43,1,5,6,6,3,112
Ryan SuccopK - TEN,Bye,39,1,4,6,8,3,111
Nick FolkK - TBView Videos,Bye,24,-,12,10,3,2,109
Chris BoswellK - PIT,Bye,36,-,2,8,11,-,99
Dan CarpenterK,Bye,40,1,8,5,4,1,99
Roberto AguayoK - CHIView NewsView Videos,Bye,32,-,5,13,4,-,98
Andrew FranksK - MIA,Bye,41,-,8,6,1,1,91
Phil DawsonK - ARI,Bye,33,-,4,6,7,1,89
Connor BarthK - CHIView News,Bye,31,-,7,7,3,1,87
Greg ZuerleinK - LA,Bye,23,-,5,9,3,2,84
Cody ParkeyK - CLE,Bye,20,-,6,6,7,1,82
Kai ForbathK - MINView Videos,Bye,11,-,5,5,4,1,58
Robbie GouldK - SF,Bye,20,-,3,3,4,-,50
Randy BullockK - CINView Videos,Bye,9,-,4,2,2,-,33
Ka'imi FairbairnK - HOU,Bye,-,-,-,-,-,-,0
Harrison ButkerK - CAR,Bye,-,-,-,-,-,-,0
Jake ElliottK - CIN,Bye,-,-,-,-,-,-,0
Zane GonzalezK - CLE,Bye,-,-,-,-,-,-,0
Aldrick RosasK - NYG,Bye,-,-,-,-,-,-,0
Blair WalshK - SEAView Videos,Bye,-,-,-,-,-,-,0
