Pos,Num,Player Name,Status,FGA,FGM,PCT,LNG,Team
K,19,"Aguayo, Roberto",ACT,31,22,71,43,TB
K,5,"Bailey, Dan",ACT,32,27,84.4,56,DAL
K,4,"Barth, Connor",ACT,23,18,78.3,54,CHI
K,9,"Boswell, Chris",ACT,25,21,84,49,PIT
K,7,"Brown, Jon",ACT,--,--,--,--,CIN
K,3,"Bryant, Matt",ACT,37,34,91.9,59,ATL
K,4,"Bullock, Randy",ACT,9,8,88.9,44,CIN
K,7,"Butker, Harrison",ACT,--,--,--,--,CAR
K,2,"Carpenter, Dan",UFA,25,19,76,54,BUF
K,7,"Catanzaro, Chandler",ACT,28,21,75,60,NYJ
K,2,"Crosby, Mason",ACT,30,26,86.7,53,GB
K,4,"Dawson, Phil",ACT,21,18,85.7,53,ARI
K,3,"Elliott, Jake",ACT,--,--,--,--,CIN
K,7,"Fairbairn, Ka'imi",ACT,--,--,--,--,HOU
K,2,"Folk, Nick",ACT,31,27,87.1,51,TB
K,2,"Forbath, Kai",ACT,15,15,100,51,MIN
K,3,"Franks, Andrew",ACT,21,16,76.2,55,MIA
K,9,"Gano, Graham",ACT,38,30,78.9,54,CAR
K,3,"Gay, Jordan",ACT,--,--,--,--,TEN
K,5,"Gonzalez, Zane",ACT,--,--,--,--,CLE
K,3,"Gostkowski, Stephen",ACT,32,27,84.4,53,NE
K,9,"Gould, Robbie",ACT,10,10,100,47,SF
K,4,"Hauschka, Steven",ACT,37,33,89.2,53,BUF
K,3,"Hopkins, Dustin",ACT,42,34,81,53,WAS
K,11,"Janikowski, Sebastian",ACT,35,29,82.9,56,OAK
K,1,"Koehn, Marshall",ACT,--,--,--,--,MIN
K,9,"Koo, Younghoe",ACT,--,--,--,--,LAC
K,2,"Lambo, Josh",ACT,32,26,81.3,47,LAC
K,3,"Lutz, Wil",ACT,34,28,82.4,57,NO
K,1,"Martin, Ross",ACT,--,--,--,--,NYJ
K,8,"McManus, Brandon",ACT,34,29,85.3,55,DEN
K,6,"Meyer, Mike",ACT,--,--,--,--,ATL
K,2,"Myers, Jason",ACT,34,27,79.4,56,JAX
K,8,"Novak, Nick",ACT,41,35,85.4,53,HOU
K,3,"Parkey, Cody",ACT,25,20,80,51,CLE
K,17,"Phillips, Andy",ACT,--,--,--,--,CHI
K,5,"Prater, Matt",ACT,36,31,86.1,58,DET
K,2,"Rosas, Aldrick",ACT,--,--,--,--,NYG
K,6,"Rose, Nick",ACT,--,--,--,--,SF
K,5,"Santos, Cairo",ACT,35,31,88.6,54,KC
K,6,"Sturgis, Caleb",ACT,41,35,85.4,55,PHI
K,4,"Succop, Ryan",ACT,24,22,91.7,53,TEN
K,2,"Tavecchio, Giorgio",ACT,--,--,--,--,OAK
K,9,"Tucker, Justin",ACT,39,38,97.4,57,BAL
K,4,"Vinatieri, Adam",ACT,31,27,87.1,54,IND
K,7,"Walsh, Blair",ACT,16,12,75,50,SEA
K,4,"Zuerlein, Greg",ACT,22,19,86.4,54,LA
